*.ins	TeX
*.intr	Dylan
*.io	Io
*.iol	Jolie
*.ipf	IGOR Pro
*.ipp	C++
*.ipynb	Jupyter Notebook
*.irclog	IRC log
*.isl	Inno Setup
*.ispc	ISPC
*.iss	Inno Setup
*.iuml	PlantUML
*.ivy	XML
*.ixx	C++
*.j	Jasmin
*.j	Objective-J
*.j2	Jinja
*.jade	Pug
*.jai	Jai
*.jake	JavaScript
*.janet	Janet
*.jav	Java
*.java	Java
*.javascript	JavaScript
*.jbuilder	Ruby
*.jcl	JCL
*.jelly	XML
*.jflex	JFlex
*.jinja	Jinja
*.jinja2	Jinja
*.jison	Jison
*.jisonlex	Jison Lex
*.jl	Julia
*.jq	jq
*.jq	JSONiq
*.js	JavaScript
*.js.erb	JavaScript+ERB
*.jsb	JavaScript
*.jscad	JavaScript
*.jsfl	JavaScript
*.jsh	Java
*.jslib	JavaScript
*.jsm	JavaScript
*.json	JSON
*.json	OASv2-json
*.json	OASv3-json
*.JSON-tmLanguage	JSON
*.json.example	JSON
*.json5	JSON5
*.jsonc	JSON with Comments
*.jsonl	JSON
*.jsonld	JSONLD
*.jsonnet	Jsonnet
*.jsp	Java Server Pages
*.jspre	JavaScript
*.jsproj	XML
*.jss	JavaScript
*.jst	EJS
*.jsx	JavaScript
*.jte	Java Template Engine
*.just	Just
*.k	KCL
*.k	KFramework
*.kak	KakouneScript
*.kdl	KDL
*.kicad_mod	KiCad Layout
*.kicad_pcb	KiCad Layout
*.kicad_sch	KiCad Schematic
*.kicad_sym	KiCad Schematic
*.kicad_wks	KiCad Layout
*.kid	Genshi
*.kit	Kit
*.kk	Koka
*.kml	XML
*.kojo	Scala
*.kql	Kusto
*.krl	KRL
*.ks	KerboScript
*.ks	Kickstart
*.ksh	Shell
*.ksy	Kaitai Struct
*.kt	Kotlin
*.ktm	Kotlin
*.kts	Kotlin
*.kv	kvlang
*.l	Common Lisp
*.l	Lex
*.l	PicoLisp
*.l	Roff
*.lagda	Literate Agda
*.langium	Langium
*.lark	Lark
*.las	Lasso
*.lasso	Lasso
*.lasso8	Lasso
*.lasso9	Lasso
*.latte	Latte
*.launch	XML
*.lbx	TeX
*.ld	Linker Script
*.lds	Linker Script
*.lean	Lean
*.lean	Lean 4
*.leex	HTML+EEX
